vehicle_id,step,sumo_x,sumo_y,gps_lat,gps_lon
ambulance_gps_0,1,1.05,508.4,36.919797,30.67375
ambulance_gps_0,2,528.85,508.4,36.919795,30.673747
ambulance_gps_0,3,523.93,508.4,36.919793,30.67374
ambulance_gps_0,4,517.2,508.4,36.919795,30.673738
ambulance_gps_0,5,517.2,508.4,36.919788,30.673732
ambulance_gps_0,6,502.49,508.4,36.919788,30.673732
ambulance_gps_0,7,502.49,508.4,36.919788,30.673732
ambulance_gps_0,8,502.49,508.4,36.919788,30.673732
ambulance_gps_0,9,502.49,508.4,36.919788,30.673732
ambulance_gps_0,10,502.49,508.4,36.919788,30.673732
ambulance_gps_0,11,502.49,508.4,36.919788,30.673732
ambulance_gps_0,12,502.49,508.4,36.919788,30.673732
ambulance_gps_0,13,502.49,508.4,36.91975,30.67376
ambulance_gps_0,14,497.14,508.4,36.919745,30.673762
ambulance_gps_0,15,494.36,508.4,36.91974,30.673765
ambulance_gps_0,16,493.28,508.4,36.91974,30.67377
ambulance_gps_0,17,498.43,508.4,36.919735,30.67377
ambulance_gps_0,18,493.93,508.4,36.91973,30.67379
ambulance_gps_0,19,510.0,508.4,36.91973,30.67379
ambulance_gps_0,20,510.0,508.4,36.91973,30.67379
ambulance_gps_0,21,510.0,508.4,36.91973,30.67379
